country;gender;age;smoker;insured_rates
DE;F;47;Yes;0,002521
DE;F;48;Yes;0,002820
DE;F;49;Yes;0,003145
DE;F;50;Yes;0,003493
DE;F;51;Yes;0,003877
DE;F;52;Yes;0,004302
DE;F;53;Yes;0,004765
DE;F;54;Yes;0,005272
DE;F;55;Yes;0,005830
DE;F;56;Yes;0,006458
DE;F;57;Yes;0,007150
DE;F;58;Yes;0,007930
DE;F;59;Yes;0,008821
DE;F;60;Yes;0,009841
DE;F;61;Yes;0,011032
DE;F;62;Yes;0,012460
DE;F;63;Yes;0,014146
DE;F;64;Yes;0,016104
DE;F;65;Yes;0,018386
DE;F;66;Yes;0,020975
DE;F;67;Yes;0,023890
DE;F;68;Yes;0,027090
DE;F;69;Yes;0,030621
DE;F;70;Yes;0,034509
DE;F;71;Yes;0,038755
DE;F;72;Yes;0,043291
DE;F;73;Yes;0,049210
DE;F;74;Yes;0,054366
DE;F;75;Yes;0,060003
DE;F;76;Yes;0,066157
DE;F;77;Yes;0,072965
DE;F;78;Yes;0,080259
DE;F;79;Yes;0,088339
DE;F;80;Yes;0,096948
