country;gender;age;smoker;rates
CHE;F;61;No;0,00149555583609728
CHE;F;62;Yes;0,00636603993141124
CHE;F;62;No;0,00165667645166844
CHE;F;63;Yes;0,00710538212551058
CHE;F;63;No;0,00184908033475526
CHE;F;64;Yes;0,00795565941339577
CHE;F;64;No;0,00207035358710754
CHE;F;65;Yes;0,00888865651964942
CHE;F;65;No;0,00231315356198338
CHE;F;66;Yes;0,00986658740018713
CHE;F;66;No;0,00256764694854733
CHE;F;67;Yes;0,0108598315148845
CHE;F;67;No;0,00282612539877795
CHE;F;68;Yes;0,0118665892175833
CHE;F;68;No;0,00308812057891613
CHE;F;69;Yes;0,0129249668674858
CHE;F;69;No;0,00336354915750767
CHE;F;70;Yes;0,0141116386073077
CHE;F;70;No;0,00367236455112831
CHE;F;71;Yes;0,0155282696569433
CHE;F;71;No;0,00404102376877686
CHE;F;72;Yes;0,0172808237618923
CHE;F;72;No;0,00449710245304931
CHE;F;73;Yes;0,0194562992650497
CHE;F;73;No;0,00506324075505388
CHE;F;74;Yes;0,0221017565697904
CHE;F;74;No;0,00575168551315745
CHE;F;75;Yes;0,0252179141561925
CHE;F;75;No;0,00656262370215747
